t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464910,3856,3,2.240000,1,0.723418,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464911,3881,26,3.000000,1,4.830459,2.000000,2.500000,19.100000,26.000000,26.000000,26.000000
1574464912,3906,18,2.440000,1,3.305047,2.000000,2.000000,13.500000,18.000000,18.000000,18.000000
1574464913,3931,3,2.160000,1,0.472582,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464914,3955,20,3.083333,1,3.646519,2.000000,3.000000,15.750000,20.000000,20.000000,20.000000
1574464915,3980,4,2.640000,2,0.568624,3.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574464916,4005,3,1.960000,1,0.351188,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464917,4030,6,2.200000,1,1.040833,2.000000,3.000000,5.100000,6.000000,6.000000,6.000000
1574464918,4054,9,2.125000,1,1.569062,2.000000,2.000000,7.500000,9.000000,9.000000,9.000000
1574464919,4079,2,1.520000,1,0.509902,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464920,4104,4,1.560000,1,0.711805,1.000000,2.000000,3.400000,4.000000,4.000000,4.000000
1574464921,4129,3,1.840000,1,0.472582,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464922,4153,2,1.750000,1,0.442326,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464923,4178,3,2.160000,1,0.624500,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464924,4203,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464925,4228,2,1.800000,1,0.408248,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464926,4252,3,1.916667,1,0.583592,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464927,4277,3,2.000000,1,0.645497,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464928,4302,8,1.920000,1,1.351542,2.000000,2.000000,6.200000,8.000000,8.000000,8.000000
1574464929,4327,5,1.680000,1,0.852447,2.000000,2.000000,4.100000,5.000000,5.000000,5.000000
1574464930,4351,2,1.666667,1,0.481543,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464931,4376,15,3.880000,2,2.386071,3.000000,4.000000,11.700000,15.000000,15.000000,15.000000
1574464932,4401,29,3.080000,1,5.430776,2.000000,2.000000,21.200000,29.000000,29.000000,29.000000
1574464933,4426,2,1.560000,1,0.506623,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464934,4450,2,1.666667,1,0.481543,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
